epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1475.52,1.14962,1.24448,1.14505,0.72326,0.48924,0.51754,0.32826,1.20129,1.37317,1.36412,0.000138981,0.000138981,0.000138981
1,1577.85,0.71284,0.49249,0.93796,0.69054,0.69064,0.67521,0.47524,0.88337,0.80845,1.14848,0.000138981,0.000138981,0.000138981
2,2182.02,0.74485,0.53709,0.95377,0.70497,0.65816,0.668,0.4637,0.92645,0.86904,1.17204,0.000264221,0.000264221,0.000264221
3,2771.04,0.76355,0.56193,0.96261,0.65661,0.70587,0.66239,0.46295,0.91367,0.85322,1.16158,0.0003757,0.0003757,0.0003757
4,3355.28,0.76732,0.56324,0.96154,0.69333,0.6906,0.67637,0.47744,0.90901,0.82085,1.16342,0.000355076,0.000355076,0.000355076
5,3941.53,0.75922,0.55361,0.95943,0.65905,0.72517,0.6841,0.47753,0.89479,0.82064,1.15998,0.000334434,0.000334434,0.000334434
6,4527.04,0.74764,0.5367,0.95352,0.64681,0.69181,0.67231,0.46938,0.8928,0.81029,1.15746,0.000313792,0.000313792,0.000313792
7,5111.63,0.73948,0.52344,0.94899,0.69691,0.69229,0.67504,0.47369,0.88377,0.79978,1.15063,0.000293151,0.000293151,0.000293151
8,5696.58,0.72603,0.5109,0.94342,0.64868,0.70391,0.6918,0.48696,0.8714,0.77147,1.13922,0.000272509,0.000272509,0.000272509
9,6280.15,0.72294,0.50353,0.94226,0.64316,0.7171,0.68334,0.48225,0.86968,0.78338,1.14151,0.000251868,0.000251868,0.000251868
10,6865.48,0.71249,0.48833,0.93605,0.63973,0.70878,0.69006,0.48662,0.85752,0.77076,1.13368,0.000231226,0.000231226,0.000231226
11,7623.77,0.65816,0.41298,0.92473,0.64461,0.69982,0.69027,0.48252,0.86412,0.79625,1.13728,0.000210585,0.000210585,0.000210585
12,8206.62,0.64655,0.40186,0.91904,0.65164,0.69717,0.68349,0.48315,0.85475,0.78581,1.12883,0.000189943,0.000189943,0.000189943
13,8787.79,0.63296,0.38464,0.91317,0.66652,0.7213,0.69168,0.48409,0.85871,0.78713,1.13782,0.000169302,0.000169302,0.000169302
